"text","post_text","shared_text","time","video_id","likes","comments","shares"
"Protesters gathered outside a Hong Kong courthouse on Thursday for the preliminary hearing of the 47 pro-democracy activists who were charged with violating Chinese law after attempting to organize an election primary. https://nyti.ms/3kKGRB4","Protesters gathered outside a Hong Kong courthouse on Thursday for the preliminary hearing of the 47 pro-democracy activists who were charged with violating Chinese law after attempting to organize an election primary. https://nyti.ms/3kKGRB4","","2021-03-05 02:25:41",274413550872568,143,43,0
"House Democrats passed the George Floyd Justice in Policing Act aimed at combating racial discrimination and excessive use of force in law enforcement. Lawmakers are seeking to rekindle bipartisan negotiations on police reform. https://nyti.ms/3sPrZEy","House Democrats passed the George Floyd Justice in Policing Act aimed at combating racial discrimination and excessive use of force in law enforcement. Lawmakers are seeking to rekindle bipartisan negotiations on police reform. https://nyti.ms/3sPrZEy","","2021-03-04 17:35:51",3706555619443080,565,59,0
"House Democrats passed the George Floyd Justice in Policing Act aimed at combating racial discrimination and excessive use of force in law enforcement. Lawmakers are seeking to rekindle bipartisan negotiations on police reform.
https://nyti.ms/3bXhmsm","House Democrats passed the George Floyd Justice in Policing Act aimed at combating racial discrimination and excessive use of force in law enforcement. Lawmakers are seeking to rekindle bipartisan negotiations on police reform.
https://nyti.ms/3bXhmsm","","2021-03-04 13:33:15",453421312767069,1381,115,0
"“Now is not the time to relax restrictions,” the director of the CDC warned state governors on Wednesday. https://nyti.ms/3uULXiK","“Now is not the time to relax restrictions,” the director of the CDC warned state governors on Wednesday. https://nyti.ms/3uULXiK","","2021-03-03 18:45:36",3023029467925624,471,59,0
"In New York Governor Andrew Cuomo’s first public remarks since he was accused of sexual harassment and unwanted advances, he apologized and said he was embarrassed, but that he would not resign. https://nyti.ms/382XmU7","In New York Governor Andrew Cuomo’s first public remarks since he was accused of sexual harassment and unwanted advances, he apologized and said he was embarrassed, but that he would not resign. https://nyti.ms/382XmU7","","2021-03-03 17:36:31",894639707988114,288,164,0
"Gov. Greg Abbott of Texas ended the statewide mask mandate on Tuesday and allowed businesses to open at full capacity starting next Wednesday. “It is now time to open Texas 100%,” he said. https://nyti.ms/3kC6Zyd","Gov. Greg Abbott of Texas ended the statewide mask mandate on Tuesday and allowed businesses to open at full capacity starting next Wednesday. “It is now time to open Texas 100%,” he said. https://nyti.ms/3kC6Zyd","","2021-03-02 17:26:06",942269576311668,765,1655,0
"The Jan. 6 assault on the Capitol ""was criminal behavior, plain and simple,"" the FBI director Christopher Wray told a Senate panel on Tuesday. ""It was behavior that we, the FBI, view as domestic terrorism,"" he said. https://nyti.ms/3bW0QIZ","The Jan. 6 assault on the Capitol ""was criminal behavior, plain and simple,"" the FBI director Christopher Wray told a Senate panel on Tuesday. ""It was behavior that we, the FBI, view as domestic terrorism,"" he said. https://nyti.ms/3bW0QIZ","","2021-03-02 15:42:23",258378109093204,1145,121,0
"Though Mini Brands are nominally marketed to children, they scratch a grown-up itch for the lost pleasures of the supermarket experience, where you enter through the whooshing automatic doors in search of toothpaste and emerge with an armful of snacks. https://nyti.ms/3e2BT1q","Though Mini Brands are nominally marketed to children, they scratch a grown-up itch for the lost pleasures of the supermarket experience, where you enter through the whooshing automatic doors in search of toothpaste and emerge with an armful of snacks. https://nyti.ms/3e2BT1q","","2021-03-02 15:00:42",238445707988515,85,26,0
"See the fireball meteor that lit up the UK night sky on Sunday. https://nyti.ms/3bRshDL","See the fireball meteor that lit up the UK night sky on Sunday. https://nyti.ms/3bRshDL","","2021-03-01 14:15:40",1032702593920189,385,51,0
"Watch: ""Captain Tom,"" a 100-year-old World War II veteran who raised millions for Britain’s National Health Service during the pandemic by walking laps in his garden, received military honors at his funeral on Saturday. https://nyti.ms/3ksrehL","Watch: ""Captain Tom,"" a 100-year-old World War II veteran who raised millions for Britain’s National Health Service during the pandemic by walking laps in his garden, received military honors at his funeral on Saturday. https://nyti.ms/3ksrehL","","2021-02-27 16:41:57",256894699255598,5014,223,0
